compound_code	compound_name	lactobacillus_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-8.725	-6.209	0.0	0.0	0.0	50.0
C00637	Indole-3-acetaldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C00631	2-Phospho-D-glycerate	-7.459	0.047	0.006	176.98	-0.055	70.0
C02528	Chenodeoxycholate	-7.392	-3.322	0.0	0.0	0.0	50.0
C00208	Maltose	10.898	-4.954	0.016	1939.2	-4.977	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.322	-2.322	0.0	0.0	0.0	50.0
C00206	dADP	-7.71	-1.585	0.0	0.0	0.0	50.0
C01216	2-Dehydro-3-deoxy-D-galactonate	-3.907	-3.907	0.0	0.0	0.0	50.0
C00025	L-Glutamate	8.048	0.585	0.073	266.161	4.274	70.0
C00024	Acetyl-CoA	-10.705	-2.581	0.0	0.0	0.0	50.0
C00148	L-Proline	7.289	1.585	0.217	159.39	5.115	70.0
C00026	2-Oxoglutarate	6.449	-0.915	0.022	89.252	-0.946	80.0
C00021	S-Adenosyl-L-homocysteine	8.266	-2.248	0.015	312.582	-2.27	80.0
C00020	AMP	8.394	0.322	0.038	337.642	3.695	60.0
C00022	Pyruvate	-9.441	-2.336	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-3.81	0.652	0.112	15.597	-0.805	80.0
C00141	3-Methyl-2-oxobutanoic_acid	7.29	-0.3	0.008	157.729	-0.311	70.0
C00029	UDP-glucose	-10.913	1.737	0.002	1931.481	-1.739	80.0
C00147	Adenine	7.535	-0.252	0.006	186.655	-0.261	70.0
C00144	GMP	8.609	0.637	0.074	392.007	4.858	70.0
C06311	Galactitol_1-phosphate	-5.334	-5.334	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-9.217	-3.879	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	5.916	-4.379	0.345	81.187	-4.806	90.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-0.737	-0.737	0.0	0.0	0.0	50.0
C00700	XTP	9.428	3.17	0.336	697.828	7.874	90.0
C06250	Holo-[carboxylase]	-7.86	-3.907	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	-3.459	-3.459	0.0	0.0	0.0	50.0
C00314	Pyridoxine	11.604	3.807	0.328	3126.803	10.003	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-7.585	4.0	0.083	208.005	-4.115	90.0
C01134	Pantetheine_4'-phosphate	8.276	1.415	0.171	312.64	5.74	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-8.786	-3.322	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.405	-3.907	0.0	0.0	0.0	50.0
C02170	Methylmalonate	-3.0	-3.0	0.0	0.0	0.0	50.0
C05659	5-Methoxytryptamine	-4.524	-4.524	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	6.358	-1.322	0.03	84.526	-1.365	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-7.768	-3.0	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.628	-3.322	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.725	-6.209	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.518	6.209	0.652	807.145	9.04	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.725	-6.209	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.518	6.209	0.652	807.145	9.04	90.0
C00804	Propynoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00965	1,3-beta-D-Glucan	4.17	4.17	1.0	36.002	5.17	70.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	3.459	3.459	1.0	21.993	4.459	70.0
C00415	Dihydrofolate	4.143	0.737	0.178	19.334	1.782	60.0
C17949	N-Acetyldemethylphosphinothricin	-7.375	-3.7	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	6.781	-1.585	0.027	112.973	-1.624	80.0
C00620	alpha-D-Ribose_1-phosphate	10.598	4.392	0.414	1570.939	9.347	90.0
C00242	Guanine	7.737	1.803	0.233	216.828	5.659	70.0
C00245	Taurine	-7.392	-3.322	0.0	0.0	0.0	50.0
C02442	N-Methyltyramine	4.524	4.524	1.0	46.014	5.524	70.0
C01097	D-Tagatose_6-phosphate	11.954	1.379	0.115	3970.061	8.839	90.0
C01094	D-Fructose_1-phosphate	13.228	5.007	0.379	9626.709	11.831	90.0
C00068	Thiamin_diphosphate	-7.917	0.241	0.005	242.869	-0.248	70.0
C00342	Thioredoxin	-10.456	3.807	0.01	1418.651	-3.821	90.0
C00343	Thioredoxin_disulfide	10.496	-3.807	0.01	1458.142	-3.821	90.0
C05688	L-Selenocysteine	9.061	3.7	0.408	547.109	7.804	90.0
C05689	Se-Methyl-L-selenocysteine	9.061	3.7	0.408	547.109	7.804	90.0
C00065	L-Serine	-9.469	0.585	0.002	710.185	-0.588	80.0
C00064	L-Glutamine	-7.287	-3.763	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-3.585	0.0	0.0	0.0	50.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-3.17	-3.17	0.0	0.0	0.0	50.0
C16630	5,6-Dihydro-5-fluorouracil	3.17	3.17	1.0	18.001	4.17	60.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	7.547	3.322	0.44	197.014	6.438	80.0
C00669	gamma-L-Glutamyl-L-cysteine	-8.775	-3.17	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	9.736	-2.056	0.005	856.921	-2.063	80.0
C00666	LL-2,6-Diaminoheptanedioate	-7.107	-4.446	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-8.804	-3.807	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	4.248	4.248	1.0	38.002	5.248	70.0
C00117	D-Ribose_5-phosphate	9.76	-3.858	0.017	881.567	-3.882	90.0
C00111	Glycerone_phosphate	10.742	-1.58	0.002	1715.622	-1.583	80.0
C00112	CDP	-5.555	-3.322	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-10.369	-1.418	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	-11.805	-0.726	0.0	0.0	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	8.418	3.0	0.356	350.035	6.963	80.0
C03492	D-4'-Phosphopantothenate	-4.392	-1.0	0.0	0.0	0.0	50.0
C11924	Perillic_acid	-3.0	-3.0	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.264	-4.044	0.0	0.0	0.0	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	4.322	4.322	1.0	40.002	5.322	70.0
C05756	3-Oxododecanoyl-[acp]	9.518	6.209	0.652	807.145	9.04	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-8.725	-6.209	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	9.518	6.209	0.652	807.145	9.04	90.0
C00235	Dimethylallyl_diphosphate	3.681	-0.678	0.125	14.426	-0.848	80.0
C05811	2-Octaprenyl-6-hydroxyphenol	-7.418	-3.807	0.0	0.0	0.0	50.0
C05810	2-Octaprenylphenol	7.418	3.807	0.513	185.014	6.569	80.0
C00188	L-Threonine	-7.226	0.788	0.012	151.434	-0.805	80.0
C02702	L-Prolyl-tRNA(Pro)	-9.948	-4.459	0.0	0.0	0.0	50.0
C00183	L-Valine	-6.917	0.222	0.01	122.01	-0.236	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-6.352	-1.222	0.0	0.0	0.0	50.0
C00181	D-Xylose	3.7	3.7	1.0	25.992	4.7	70.0
C05985	2-Propynal	3.0	3.0	1.0	16.0	4.0	60.0
C00011	CO2	4.24	4.674	0.907	44.424	5.333	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-2.939	-0.263	0.0	0.0	0.0	50.0
C00689	alpha,alpha'-Trehalose_6-phosphate	-6.937	4.087	0.139	139.525	-4.274	90.0
C16348	cis-3-Chloroallyl_aldehyde	-9.752	-2.939	0.0	0.0	0.0	50.0
C02946	4-Acetamidobutanoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	-3.0	-4.585	0.0	0.0	0.0	50.0
C05100	3-Ureidoisobutyrate	-3.17	-3.17	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-8.401	-3.322	0.0	0.0	0.0	50.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-3.807	-3.807	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-8.079	-3.7	0.0	0.0	0.0	50.0
C14519	1-Hydroxypyrene	4.524	4.524	1.0	46.014	5.524	70.0
C18239	Precursor_Z	-3.459	-3.459	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	-8.122	-0.848	0.0	0.0	0.0	50.0
C00445	5,10-Methenyltetrahydrofolate	5.7	2.663	0.467	58.318	4.768	70.0
C01762	Xanthosine	8.381	3.7	0.441	346.371	7.257	80.0
C00441	L-Aspartate_4-semialdehyde	-4.807	4.143	0.631	45.66	-4.849	90.0
C00440	5-Methyltetrahydrofolate	1.222	1.222	1.0	4.665	2.222	60.0
C00526	Deoxyuridine	8.971	4.248	0.474	520.812	7.946	90.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	1.7	1.7	1.0	6.498	2.7	60.0
C00831	Pantetheine	7.547	3.322	0.44	197.014	6.438	80.0
C03838	5'-Phosphoribosylglycinamide	-5.858	-3.0	0.0	0.0	0.0	50.0
C03722	Quinolinate	-3.585	-3.585	0.0	0.0	0.0	50.0
C05402	Melibiose	8.794	-2.807	0.016	450.87	-2.83	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	9.793	-2.807	0.008	894.127	-2.818	90.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	3.322	1.0	20.001	4.322	70.0
C00627	Pyridoxine_phosphate	-11.604	-3.807	0.0	0.0	0.0	50.0
C00459	dTTP	-8.68	3.682	0.031	422.983	-3.726	90.0
C00780	Serotonin	4.524	4.524	1.0	46.014	5.524	70.0
C05966	15(S)-HPETE	4.0	4.0	1.0	32.0	5.0	70.0
C00231	D-Xylulose_5-phosphate	7.431	-3.54	0.067	184.197	-3.634	90.0
C01345	dITP	-6.741	3.17	0.084	115.966	-3.287	90.0
C00063	CTP	8.839	3.08	0.348	466.391	7.344	80.0
C01613	Stachyose	10.231	2.807	0.274	1208.814	8.374	90.0
C00159	D-Mannose	11.233	6.331	0.564	2487.471	10.453	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.954	-3.322	0.0	0.0	0.0	50.0
C00062	L-Arginine	-8.523	-4.248	0.0	0.0	0.0	50.0
C00014	Ammonia	7.98	3.17	0.397	261.476	6.699	80.0
C00015	UDP	-5.276	1.0	0.052	40.747	-1.073	80.0
C00018	Pyridoxal_phosphate	-11.604	-3.807	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	0.807	0.807	1.0	3.499	1.807	60.0
C00857	Deamino-NAD+	-6.748	1.0	0.019	109.486	-1.027	80.0
C00152	L-Asparagine	-7.951	3.807	0.057	261.448	-3.886	90.0
C00155	L-Homocysteine	-7.405	2.248	0.028	174.234	-2.288	80.0
C02835	Imidazole-4-acetate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00066	tRNA	7.435	3.459	0.465	184.041	6.42	80.0
C02876	Propanoyl_phosphate	-7.2	1.0	0.014	149.033	-1.019	80.0
C02336	beta-D-Fructose	8.994	2.0	0.222	513.875	6.836	80.0
C00058	Formate	11.603	3.209	0.277	3119.896	9.753	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.672	1.459	0.397	15.495	2.622	60.0
C00301	ADP-ribose	8.801	3.585	0.407	458.031	7.544	90.0
C00718	Amylose	-8.003	2.907	0.029	264.033	-2.949	90.0
C02232	3-Oxoadipyl-CoA	-4.322	-4.322	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	11.713	4.807	0.41	3385.094	10.44	90.0
C02554	L-Valyl-tRNA(Val)	-9.326	-3.585	0.0	0.0	0.0	50.0
C02909	(2-Naphthyl)methanol	11.713	4.807	0.41	3385.094	10.44	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-7.418	-3.807	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.672	1.0	0.039	52.985	-1.056	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	1.585	1.585	1.0	6.0	2.585	60.0
C01127	4-Hydroxy-2-oxoglutarate	4.644	4.644	1.0	50.005	5.644	70.0
C06188	Salicin_6-phosphate	11.96	4.585	0.383	4007.995	10.585	90.0
C05665	3-Aminopropanal	3.0	3.0	1.0	16.0	4.0	60.0
C06186	Arbutin	7.066	4.755	0.673	160.994	6.759	80.0
C06187	Arbutin_6-phosphate	-7.0	-4.392	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	8.02	-1.047	0.008	261.64	-1.058	80.0
C06613	trans-3-Chloroallyl_aldehyde	-9.752	-2.939	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	9.126	2.354	0.258	563.84	7.184	80.0
C01152	N(pi)-Methyl-L-histidine	-4.524	-4.524	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-8.375	-3.17	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	6.6	-0.585	0.015	98.506	-0.607	80.0
C03479	Folinic_acid	5.0	1.585	0.317	35.0	3.472	60.0
C06113	L-Aspartyl-tRNA(Asn)	-9.282	-3.663	0.0	0.0	0.0	50.0
C06112	L-Glutamyl-tRNA(Gln)	8.982	-3.663	0.025	518.319	-3.699	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.665	-2.807	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	5.392	5.392	1.0	83.982	6.392	80.0
C02576	Perillyl_aldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C00577	D-Glyceraldehyde	-13.823	-5.358	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	13.733	4.077	0.297	13632.733	11.983	90.0
C01801	Deoxyribose	10.267	3.459	0.337	1243.179	8.71	90.0
C00275	D-Mannose_6-phosphate	-11.701	-5.966	0.0	0.0	0.0	50.0
C05465	Taurochenodeoxycholate	7.392	3.322	0.449	177.964	6.322	80.0
C00900	2-Acetolactate	8.347	-3.585	0.037	337.61	-3.637	90.0
C12215	Iminoerythrose_4-phosphate	-5.392	-5.392	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	5.392	5.392	1.0	83.982	6.392	80.0
C00294	Inosine	8.074	3.7	0.458	282.47	7.016	80.0
C05396	Lactose_6-phosphate	-5.524	3.585	0.261	58.014	-3.919	90.0
C05699	L-Selenocystathionine	7.748	3.17	0.409	223.972	6.518	80.0
C05698	Selenohomocysteine	-7.665	2.322	0.025	207.953	-2.357	80.0
C00354	D-Fructose_1,6-bisphosphate	-11.238	-2.907	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-6.983	-3.585	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-9.615	-0.553	0.0	0.0	0.0	50.0
C00299	Uridine	6.222	4.954	0.796	105.642	6.394	80.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-3.459	-3.459	0.0	0.0	0.0	50.0
C00158	Citrate	1.341	1.341	1.0	5.067	2.341	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.923	2.907	0.015	492.89	-2.929	90.0
C00632	3-Hydroxyanthranilate	4.524	4.524	1.0	46.014	5.524	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.963	-3.0	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.771	3.322	0.379	446.852	7.403	90.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.781	-1.585	0.027	112.973	-1.624	80.0
C06206	Benzoyl_phosphate	3.17	3.17	1.0	18.001	4.17	60.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-8.053	-3.0	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	-11.324	-3.907	0.0	0.0	0.0	50.0
C05382	Sedoheptulose_7-phosphate	-3.846	-3.846	0.0	0.0	0.0	50.0
C00120	Biotin	6.714	3.907	0.582	119.983	6.126	70.0
C00121	D-Ribose	10.267	3.459	0.337	1243.179	8.71	90.0
C00122	Fumarate	-7.875	-2.907	0.0	0.0	0.0	50.0
C00123	L-Leucine	-6.143	1.0	0.028	72.669	-1.04	80.0
C00127	Glutathione_disulfide	-4.0	-4.0	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-8.725	-6.209	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	9.518	6.209	0.652	807.145	9.04	90.0
C03150	Nicotinamide-beta-riboside	8.079	3.7	0.458	283.405	7.02	80.0
C00054	Adenosine_3',5'-bisphosphate	-8.418	-3.0	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-9.321	-1.354	0.0	0.0	0.0	50.0
C00051	Glutathione	4.0	4.0	1.0	32.0	5.0	70.0
C00052	UDP-alpha-D-galactose	9.114	0.652	0.072	555.67	5.313	70.0
C00010	CoA	7.372	-0.737	0.01	167.317	-0.751	80.0
C00197	3-Phospho-D-glycerate	-7.725	3.51	0.054	222.964	-3.586	90.0
C03785	D-Tagatose_1,6-bisphosphate	-11.875	-3.536	0.0	0.0	0.0	50.0
C00192	Hydroxylamine	3.17	3.17	1.0	18.001	4.17	60.0
C01113	D-Galactose_6-phosphate	-4.807	3.585	0.429	39.993	-4.1	90.0
C01050	UDP-N-acetylmuramate	7.892	2.147	0.272	241.965	6.041	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	7.726	-2.524	0.027	217.47	-2.563	90.0
C05130	Imidazole-4-acetaldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	6.234	-2.0	0.053	79.27	-2.075	80.0
C04805	5(S)-HETE	-4.0	-4.0	0.0	0.0	0.0	50.0
C03028	Thiamin_triphosphate	-8.721	-3.17	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	9.428	-2.0	0.006	692.828	-2.008	80.0
