compound_code	compound_name	clostridium_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	5.618	0.043	50.295	1.121	60.0
C00026	2-Oxoglutarate	-4.626	-6.017	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-6.768	0.0	0.0	0.0	50.0
C00020	AMP	0.415	1.585	0.262	4.333	0.182	60.0
C00352	D-Glucosamine_6-phosphate	0.585	-5.728	0.028	54.503	-0.625	70.0
C00022	Pyruvate	-3.526	6.239	0.153	87.051	-3.731	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	-5.215	0.074	39.896	-1.564	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	-4.392	0.0	0.0	0.0	50.0
C00029	UDP-glucose	1.766	4.17	0.424	21.402	3.18	70.0
C00147	Adenine	-0.101	-2.755	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-1.0	-8.358	0.0	0.0	0.0	50.0
C00149	(S)-Malate	1.339	-5.856	0.044	60.45	-1.401	80.0
C02430	L-Methionyl-tRNA	-2.322	-5.044	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-3.382	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	1.766	3.766	0.469	17.005	2.995	70.0
C05335	L-Selenomethionine	2.322	5.322	0.436	45.002	4.295	80.0
C00438	N-Carbamoyl-L-aspartate	0.585	3.858	0.152	16.0	1.279	60.0
C00101	Tetrahydrofolate	3.933	4.512	0.872	38.09	5.053	80.0
C06250	Holo-[carboxylase]	-0.322	-6.267	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.0	-4.907	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	1.0	-6.19	0.027	75.009	-1.039	70.0
C00235	Dimethylallyl_diphosphate	-3.609	-3.138	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-2.807	-6.931	0.0	0.0	0.0	50.0
C00011	CO2	6.808	7.581	0.898	303.523	8.091	90.0
C00014	Ammonia	1.053	-4.031	0.127	18.422	-1.225	70.0
C00015	UDP	-1.874	-3.907	0.0	0.0	0.0	50.0
C00065	L-Serine	-0.787	5.185	0.047	38.104	-0.854	70.0
C00153	Nicotinamide	-0.585	-7.304	0.0	0.0	0.0	50.0
C00152	L-Asparagine	0.778	6.7	0.116	105.683	3.617	70.0
C00155	L-Homocysteine	-0.322	-1.379	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	0.485	-1.773	0.41	4.817	-0.98	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.0	4.907	0.204	32.002	2.705	70.0
C00091	Succinyl-CoA	5.94	-6.522	0.668	153.293	-6.678	90.0
C00197	3-Phospho-D-glycerate	4.491	6.427	0.699	108.531	6.245	90.0
C05345	beta-D-Fructose_6-phosphate	-2.4	5.811	0.094	61.42	-2.53	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.322	-6.615	0.0	0.0	0.0	50.0
C16633	5-Fluorouridine	2.0	7.748	0.258	218.971	5.821	90.0
C02051	Lipoylprotein	0.585	-4.585	0.063	25.501	-0.672	70.0
C00259	L-Arabinose	3.17	8.262	0.384	315.98	6.922	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-6.409	0.0	0.0	0.0	50.0
C00385	Xanthine	-0.153	-4.19	0.0	0.0	0.0	50.0
C00387	Guanosine	0.485	7.304	0.066	159.424	3.404	70.0
C00817	D-Altronate	1.807	-6.705	0.034	107.828	-1.855	80.0
C05841	Nicotinate_D-ribonucleoside	0.585	7.304	0.08	159.524	3.675	70.0
C00655	Xanthosine_5'-phosphate	-1.524	-2.773	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	1.0	6.34	0.158	83.008	3.711	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-6.57	0.0	0.0	0.0	50.0
C00508	L-Ribulose	-2.663	-7.112	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.0	-8.358	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	1.0	6.34	0.158	83.008	3.711	80.0
C00364	dTMP	-2.874	3.087	0.863	15.828	-3.771	90.0
C00365	dUMP	-3.567	-5.221	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.0	-8.358	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	1.0	6.34	0.158	83.008	3.711	80.0
C00008	ADP	-1.415	-2.336	0.0	0.0	0.0	50.0
C00003	NAD+	-2.663	-7.5	0.0	0.0	0.0	50.0
C00002	ATP	4.465	6.959	0.642	146.499	6.555	90.0
C00369	Starch	2.402	2.644	0.908	11.536	3.39	70.0
C15972	Enzyme_N6-(lipoyl)lysine	1.585	-6.907	0.025	123.009	-1.621	80.0
C01127	4-Hydroxy-2-oxoglutarate	3.907	7.827	0.499	242.072	6.917	90.0
C00253	Nicotinate	-1.17	-7.304	0.0	0.0	0.0	50.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-6.741	0.0	0.0	0.0	50.0
C00031	D-Glucose	-0.222	7.055	0.009	134.14	-0.235	60.0
C01242	S-Aminomethyldihydrolipoylprotein	-0.322	5.977	0.02	64.238	-0.35	70.0
C00558	D-Tagaturonate	-7.524	6.19	0.397	257.065	-6.672	90.0
C00886	L-Alanyl-tRNA	-3.585	-6.7	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-3.075	-7.589	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.525	7.347	0.018	165.683	-1.55	80.0
C03114	Dimethylbenzimidazole	5.728	6.375	0.899	136.001	6.933	90.0
C00095	D-Fructose	-0.193	-7.827	0.0	0.0	0.0	50.0
C00097	L-Cysteine	1.474	-7.224	0.019	152.278	-1.501	80.0
C00078	L-Tryptophan	1.0	6.409	0.156	86.977	3.762	80.0
C00079	L-Phenylalanine	0.348	-1.138	0.578	3.474	-1.006	70.0
C00073	L-Methionine	2.322	5.298	0.438	44.342	4.281	80.0
C00718	Amylose	-2.585	-2.55	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-4.699	-6.979	0.0	0.0	0.0	50.0
C00075	UTP	5.006	5.652	0.886	82.416	6.19	90.0
C00333	D-Galacturonate	7.524	7.687	0.979	390.127	8.577	90.0
C00620	alpha-D-Ribose_1-phosphate	3.954	7.492	0.528	195.516	6.689	90.0
C00123	L-Leucine	1.222	-3.322	0.233	12.333	-1.524	80.0
C00085	D-Fructose_6-phosphate	-0.363	4.926	0.042	31.686	-0.423	70.0
C00242	Guanine	-0.485	-4.585	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-2.807	-5.7	0.0	0.0	0.0	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	2.0	4.585	0.436	28.001	3.61	70.0
C00407	L-Isoleucine	1.485	-3.485	0.25	13.996	-1.807	80.0
C04646	6-Thioinosine-5'-monophosphate	2.585	3.807	0.679	19.997	3.763	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	6.858	0.022	118.502	-1.353	80.0
C02988	L-Histidyl-tRNA(His)	-2.807	-6.508	0.0	0.0	0.0	50.0
C00163	Propanoate	1.0	7.238	0.138	152.958	4.401	80.0
C02984	L-Aspartyl-tRNA(Asp)	-1.585	-6.285	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-6.426	0.0	0.0	0.0	50.0
C06508	Adenosyl_cobinamide	4.392	-3.907	0.714	35.997	-4.685	90.0
C00169	Carbamoyl_phosphate	-1.354	4.147	0.144	20.272	-1.548	80.0
C02047	L-Leucyl-tRNA	-3.17	-6.524	0.0	0.0	0.0	50.0
C00106	Uracil	-0.29	-2.202	0.0	0.0	0.0	50.0
C00068	Thiamin_diphosphate	-0.222	-7.349	0.0	0.0	0.0	50.0
C00342	Thioredoxin	3.406	-4.916	0.351	40.79	-3.84	90.0
C00343	Thioredoxin_disulfide	-3.17	4.672	0.353	34.493	-3.606	90.0
C03082	4-Phospho-L-aspartate	2.07	1.379	0.666	6.8	2.179	70.0
C00103	D-Glucose_1-phosphate	3.36	5.218	0.644	47.487	4.934	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-2.0	-7.15	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	-3.459	0.364	14.997	-2.448	80.0
C00063	CTP	4.847	6.823	0.71	142.001	6.656	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-2.585	4.441	0.276	27.721	-2.937	90.0
C00064	L-Glutamine	-0.17	-5.595	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	3.907	-6.17	0.208	87.005	-4.18	90.0
C00861	L-Rhamnulose	-1.585	-6.883	0.0	0.0	0.0	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	3.7	0.357	15.496	2.469	70.0
C16634	5-Fluorouridine_monophosphate	-2.0	-8.362	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.628	-1.976	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	-0.637	-3.68	0.0	0.0	0.0	50.0
C00361	dGDP	1.585	-4.481	0.134	25.331	-1.767	80.0
C06510	Adenosine-GDP-cobinamide	-4.392	5.129	0.6	55.989	-5.07	90.0
C00668	alpha-D-Glucose_6-phosphate	4.02	-3.912	0.928	31.277	-4.859	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.17	-7.0	0.0	0.0	0.0	50.0
C00475	Cytidine	-0.536	-5.258	0.0	0.0	0.0	50.0
C12215	Iminoerythrose_4-phosphate	-1.0	-7.476	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	1.0	7.476	0.134	180.033	4.59	80.0
C00234	10-Formyltetrahydrofolate	-4.492	-3.229	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-2.051	-6.12	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	2.357	-3.388	0.489	15.592	-2.932	80.0
C00112	CDP	-2.322	-4.346	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	0.181	-2.459	0.206	6.632	-0.451	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.237	2.531	0.408	8.137	-1.73	80.0
C00118	D-Glyceraldehyde_3-phosphate	6.589	4.754	0.722	123.252	6.475	90.0
C00299	Uridine	-0.628	-1.399	0.0	0.0	0.0	50.0
C01762	Xanthosine	0.585	7.304	0.08	159.524	3.675	70.0
C00231	D-Xylulose_5-phosphate	0.3	-5.576	0.026	48.934	-0.337	70.0
C00857	Deamino-NAD+	3.17	8.022	0.395	268.934	6.732	90.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-5.157	3.369	0.29	46.011	-3.736	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.0	-6.15	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	1.0	6.34	0.158	83.008	3.711	80.0
C00507	L-Rhamnose	1.585	7.966	0.199	253.037	5.654	90.0
C05756	3-Oxododecanoyl-[acp]	1.0	6.34	0.158	83.008	3.711	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.0	-7.484	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	0.174	3.35	0.052	11.325	-0.766	70.0
C01172	beta-D-Glucose_6-phosphate	-2.612	-3.322	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	1.0	8.358	0.12	330.102	5.304	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.322	-7.267	0.0	0.0	0.0	50.0
C00460	dUTP	4.358	7.484	0.582	199.529	6.86	90.0
C00286	dGTP	-3.115	5.554	0.184	55.645	-3.359	90.0
C00124	D-Galactose	3.195	6.098	0.524	77.656	5.347	90.0
C00294	Inosine	0.485	7.304	0.066	159.424	3.404	70.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-0.515	-6.561	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	0.568	-3.322	0.148	11.483	-0.767	70.0
C02553	L-Seryl-tRNA(Ser)	-3.7	-6.768	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-2.515	-6.164	0.0	0.0	0.0	50.0
C03785	D-Tagatose_1,6-bisphosphate	-3.0	-8.022	0.0	0.0	0.0	50.0
C00514	D-Mannonate	4.524	7.401	0.611	192.021	6.875	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.0	-8.358	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	1.0	6.34	0.158	83.008	3.711	80.0
C05744	Acetoacetyl-[acp]	0.678	6.074	0.112	68.968	2.945	70.0
C03150	Nicotinamide-beta-riboside	0.585	7.304	0.08	159.524	3.675	70.0
C00458	dCTP	-3.97	5.668	0.308	66.515	-4.358	90.0
C00459	dTTP	1.322	6.964	0.19	127.346	4.595	80.0
C00199	D-Ribulose_5-phosphate	0.617	-4.418	0.072	22.911	-0.717	70.0
C00217	D-Glutamate	1.0	3.907	0.256	17.001	2.121	70.0
C02876	Propanoyl_phosphate	-1.0	-7.238	0.0	0.0	0.0	50.0
C00212	Adenosine	0.322	7.304	0.044	159.274	2.812	70.0
C00036	Oxaloacetate	3.341	-4.434	0.469	31.749	-3.896	90.0
C00037	Glycine	0.817	-6.054	0.027	68.203	-0.855	70.0
C00035	GDP	-2.415	3.624	0.433	17.662	-2.934	90.0
C16618	6-Thioxanthine_5'-monophosphate	-2.585	-2.0	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	0.585	7.304	0.08	159.524	3.675	70.0
C00135	L-Histidine	1.0	6.508	0.154	93.013	3.837	80.0
C00131	dATP	-1.926	2.115	0.877	8.132	-2.835	80.0
C00130	IMP	1.437	-0.059	0.385	3.749	-0.529	70.0
C01097	D-Tagatose_6-phosphate	3.0	8.022	0.374	267.934	6.647	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.0	-7.484	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	0.893	5.64	0.158	51.724	3.034	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	-6.0	0.0	0.0	0.0	50.0
C06509	Adenosyl_cobinamide_phosphate	2.939	-2.503	0.739	13.337	-3.301	90.0
C00206	dADP	0.848	4.018	0.211	18.001	1.926	70.0
C00631	2-Phospho-D-glycerate	0.202	-2.621	0.187	7.302	-0.449	70.0
C00441	L-Aspartate_4-semialdehyde	3.222	-4.815	0.331	37.48	-3.635	90.0
C00526	Deoxyuridine	0.415	3.907	0.106	16.334	0.795	60.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	4.285	0.097	20.828	1.012	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.0	3.536	0.172	13.6	-1.229	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.0	-7.484	0.0	0.0	0.0	50.0
C00041	L-Alanine	1.907	-4.97	0.12	35.092	-2.07	80.0
C00040	Acyl-CoA	0.363	7.136	0.051	141.939	2.852	70.0
C00047	L-Lysine	1.807	6.931	0.261	125.521	5.032	80.0
C00046	RNA	-4.104	-6.306	0.0	0.0	0.0	50.0
C00044	GTP	-4.131	-6.623	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.059	5.919	0.275	77.174	-4.41	90.0
C00049	L-Aspartate	1.871	-3.779	0.266	17.385	-2.212	80.0
C00048	Glyoxylate	1.773	-1.322	0.732	5.918	-2.114	80.0
