compound_code	compound_name	turicibacter_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-4.17	-3.0	0.0	0.0	0.0	50.0
C00149	(S)-Malate	1.0	2.273	0.44	6.833	1.588	60.0
C02430	L-Methionyl-tRNA	-1.0	-4.322	0.0	0.0	0.0	50.0
C00437	N-Acetylornithine	1.379	-3.293	0.265	12.402	-1.719	70.0
C00826	L-Arogenate	3.17	4.585	0.691	33.001	4.512	80.0
C06126	Digalactosylceramide	3.7	6.022	0.614	77.979	5.582	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.954	-3.17	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	2.7	-1.0	0.308	8.498	-1.387	70.0
C16688	Sucrose_6-phosphate	4.755	2.322	0.488	32.002	3.966	80.0
C00794	D-Sorbitol	-3.7	-6.022	0.0	0.0	0.0	50.0
C00506	L-Cysteate	4.17	3.0	0.719	26.001	4.225	80.0
C00221	beta-D-Glucose	-3.563	3.916	0.783	26.914	-4.397	90.0
C00385	Xanthine	-0.678	-2.555	0.0	0.0	0.0	50.0
C00387	Guanosine	1.0	4.087	0.245	18.995	2.216	70.0
C02504	alpha-Isopropylmalate	3.157	-2.939	0.86	16.589	-3.834	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	4.672	5.524	0.846	71.506	5.918	90.0
C01801	Deoxyribose	3.0	1.585	0.528	11.0	2.539	70.0
C00365	dUMP	0.874	1.0	0.874	3.833	1.744	60.0
C00008	ADP	-3.298	4.47	0.444	31.997	-3.828	90.0
C00003	NAD+	-2.415	-3.807	0.0	0.0	0.0	50.0
C00002	ATP	3.027	6.714	0.451	113.133	5.673	90.0
C00369	Starch	2.874	-4.078	0.434	24.22	-3.394	80.0
C05703	Methaneselenol	-2.807	-4.644	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-1.0	-4.931	0.0	0.0	0.0	50.0
C02612	(R)-2-Methylmalate	3.392	4.7	0.722	36.49	4.719	80.0
C03742	(S)-4-Hydroxymandelonitrile	-4.672	-5.524	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-3.585	-1.585	0.0	0.0	0.0	50.0
C00644	D-Mannitol_1-phosphate	-1.0	3.17	0.222	11.0	-1.289	60.0
C00310	D-Xylulose	5.907	6.17	0.957	132.008	6.982	90.0
C01931	L-Lysyl-tRNA	-1.0	-6.555	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-2.322	-4.17	0.0	0.0	0.0	50.0
C00760	Cellulose	4.115	-6.19	0.237	90.336	-4.422	90.0
C00093	sn-Glycerol_3-phosphate	2.102	5.061	0.415	37.675	3.968	80.0
C00095	D-Fructose	1.459	-5.755	0.051	56.753	-1.531	70.0
C00096	GDP-mannose	-2.807	0.379	0.186	8.299	-0.625	60.0
C00097	L-Cysteine	-2.858	4.279	0.373	26.664	-3.316	80.0
C00077	L-Ornithine	-1.585	-1.585	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	2.954	-4.129	0.443	25.246	-3.483	80.0
C00166	Phenylpyruvate	-0.621	-1.596	0.0	0.0	0.0	50.0
C00163	Propanoate	2.585	6.476	0.399	95.017	5.245	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.833	-5.672	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-5.459	-5.044	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-3.563	-4.678	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-4.0	-5.524	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-5.615	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	1.0	6.304	0.159	81.012	3.684	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.063	-4.619	0.0	0.0	0.0	50.0
C00860	L-Histidinol	-3.7	4.17	0.722	30.997	-4.484	90.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-2.248	2.585	0.792	10.75	-3.089	80.0
C01419	Cys-Gly	3.807	3.907	0.974	28.998	4.82	80.0
C03561	(R)-3-Hydroxybutanoyl-CoA	2.322	2.807	0.827	11.999	3.311	70.0
C08325	Amygdalin	4.672	5.524	0.846	71.506	5.918	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-3.939	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.954	1.585	0.32	33.996	3.443	70.0
C00695	Cholic_acid	-1.0	-3.17	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	1.0	-5.7	0.038	53.984	-1.054	60.0
C16219	3-Oxostearoyl-[acp]	-3.459	4.322	0.55	30.998	-4.091	90.0
C00263	L-Homoserine	1.291	1.503	0.859	5.281	2.182	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-3.0	-5.585	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	3.0	5.585	0.537	56.001	4.911	80.0
C00267	alpha-D-Glucose	-3.798	4.765	0.512	41.099	-4.394	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-2.322	-5.426	0.0	0.0	0.0	50.0
C00286	dGTP	3.047	-4.951	0.267	39.196	-3.389	80.0
C00283	Hydrogen_sulfide	3.17	3.585	0.884	21.001	4.215	80.0
C00288	HCO3-	4.087	-5.443	0.391	60.496	-4.563	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	-3.907	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	4.524	2.807	0.62	30.005	4.219	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	1.585	-3.585	0.25	15.0	-1.907	70.0
C01209	Malonyl-[acyl-carrier_protein]	4.17	3.931	0.943	33.254	4.97	80.0
C02492	1,4-beta-D-Mannan	3.322	5.524	0.601	56.014	5.074	90.0
C00217	D-Glutamate	-3.585	4.392	0.572	32.996	-4.237	90.0
C00212	Adenosine	1.0	4.087	0.245	18.995	2.216	70.0
C05796	Galactan	3.322	4.858	0.684	39.001	4.737	80.0
C00036	Oxaloacetate	3.289	6.503	0.506	100.472	5.667	90.0
C05841	Nicotinate_D-ribonucleoside	1.0	4.087	0.245	18.995	2.216	70.0
C00035	GDP	-3.626	-4.358	0.0	0.0	0.0	50.0
C00033	Acetate	-2.263	4.598	0.198	29.018	-2.524	70.0
C00031	D-Glucose	-2.858	-3.672	0.0	0.0	0.0	50.0
C00137	myo-Inositol	-3.7	-3.644	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	3.0	-3.807	0.572	21.997	-3.652	80.0
C00134	Putrescine	1.585	1.585	1.0	6.0	2.585	70.0
C00133	D-Alanine	3.907	4.524	0.864	38.008	5.037	90.0
C00131	dATP	-0.531	-2.322	0.0	0.0	0.0	50.0
C00130	IMP	0.716	1.951	0.367	5.509	1.016	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.022	-1.524	0.354	10.999	-1.961	70.0
C00041	L-Alanine	3.907	4.392	0.89	35.997	5.001	90.0
C00040	Acyl-CoA	2.7	4.907	0.55	36.5	4.328	80.0
C00046	RNA	4.077	-5.087	0.497	50.866	-4.659	90.0
C00044	GTP	-2.605	-5.884	0.0	0.0	0.0	50.0
C00049	L-Aspartate	2.714	3.232	0.84	15.957	3.744	80.0
C00048	Glyoxylate	3.322	3.954	0.84	25.498	4.421	80.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-5.807	0.0	0.0	0.0	50.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-1.0	-5.129	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	3.17	-3.459	0.818	19.997	-4.033	90.0
C01103	Orotidine_5'-phosphate	3.17	-6.052	0.136	75.349	-3.354	80.0
C00101	Tetrahydrofolate	0.515	-2.655	0.227	7.727	-0.81	60.0
C05122	Taurocholate	1.0	3.17	0.315	11.0	1.795	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-2.248	2.585	0.792	10.75	-3.089	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-2.585	4.129	0.343	23.497	-3.01	80.0
C16565	Aminopropylcadaverine	-3.459	-4.087	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	-2.807	2.0	0.572	10.998	-2.652	70.0
C05345	beta-D-Fructose_6-phosphate	4.279	6.025	0.71	84.532	5.908	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	3.7	6.022	0.614	77.979	5.582	90.0
C05223	Dodecanoyl-[acyl-carrier_protein]	4.17	1.0	0.24	20.001	2.262	70.0
C05466	Glycochenodeoxycholate	1.0	3.17	0.315	11.0	1.795	60.0
C05465	Taurochenodeoxycholate	1.0	3.17	0.315	11.0	1.795	60.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.807	4.807	0.5	41.99	-4.392	90.0
C00253	Nicotinate	-0.415	-4.459	0.0	0.0	0.0	50.0
C00254	Prephenate	0.783	-1.678	0.538	4.921	-1.404	70.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-5.7	0.0	0.0	0.0	50.0
C00259	L-Arabinose	-6.248	-5.781	0.0	0.0	0.0	50.0
C01081	Thiamin_monophosphate	-3.585	-2.585	0.0	0.0	0.0	50.0
C00492	Raffinose	3.0	-4.392	0.381	28.995	-3.466	80.0
C00886	L-Alanyl-tRNA	-3.907	-5.755	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-7.096	-7.105	0.0	0.0	0.0	50.0
C00078	L-Tryptophan	1.0	4.437	0.225	23.661	2.415	70.0
C00079	L-Phenylalanine	1.99	3.017	0.66	12.067	2.993	70.0
C00073	L-Methionine	2.668	3.661	0.729	19.005	3.792	80.0
C02282	Glutaminyl-tRNA	-4.038	-3.636	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-6.807	-6.981	0.0	0.0	0.0	50.0
C00075	UTP	3.194	6.969	0.458	134.43	5.945	90.0
C06032	D-erythro-3-Methylmalate	-2.517	2.585	0.954	11.724	-3.483	80.0
C00085	D-Fructose_6-phosphate	-3.322	7.107	0.073	147.855	-3.423	80.0
C02352	1,4-beta-D-Xylan	3.322	1.585	0.477	13.001	2.633	70.0
C00083	Malonyl-CoA	-4.087	-3.491	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	0.022	-0.553	0.692	2.482	-0.781	60.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	-6.129	0.0	0.0	0.0	50.0
C00089	Sucrose	2.663	-5.931	0.104	67.345	-2.805	80.0
C04646	6-Thioinosine-5'-monophosphate	1.585	5.426	0.292	45.992	3.748	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	2.29	0.318	6.446	-1.035	60.0
C01921	Glycocholate	1.0	3.17	0.315	11.0	1.795	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	-0.585	-1.585	0.0	0.0	0.0	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-1.138	2.678	0.344	8.6	-1.564	70.0
C00106	Uracil	4.524	2.888	0.638	30.409	4.279	80.0
C00105	UMP	1.322	-0.065	0.418	3.546	-0.569	60.0
C00103	D-Glucose_1-phosphate	-1.536	2.481	0.519	8.483	-2.14	70.0
C00100	Propanoyl-CoA	-0.415	-3.565	0.0	0.0	0.0	50.0
C05838	cis-2-Hydroxycinnamate	-4.672	-5.524	0.0	0.0	0.0	50.0
C00270	N-Acetylneuraminate	-2.322	1.585	0.6	8.0	-2.263	70.0
C00109	2-Oxobutanoate	3.395	3.158	0.93	19.445	4.177	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	1.0	2.0	0.5	6.0	1.585	60.0
C05764	Hexadecanoyl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05761	Tetradecanoyl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05762	3-Oxohexadecanoyl-[acp]	-3.087	3.931	0.557	23.75	-3.726	90.0
C00361	dGDP	1.222	3.17	0.385	11.333	2.127	70.0
C00170	5'-Methylthioadenosine	1.115	-1.0	0.923	4.166	-1.944	70.0
C02992	L-Threonyl-tRNA(Thr)	-5.585	-6.209	0.0	0.0	0.0	50.0
C00179	Agmatine	3.0	2.322	0.774	13.0	3.331	70.0
C03090	5-Phosphoribosylamine	4.868	-2.678	0.219	35.602	-2.964	80.0
C01077	O-Acetyl-L-homoserine	4.0	4.954	0.807	46.996	5.246	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.585	0.678	0.428	4.6	0.977	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.585	-2.053	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	-3.459	2.807	0.636	17.995	-3.518	80.0
C02412	Glycyl-tRNA(Gly)	-4.807	-6.392	0.0	0.0	0.0	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	-0.08	0.063	0.988	2.102	-1.055	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	1.0	1.0	4.0	2.0	70.0
C04411	(2R,3S)-3-Isopropylmalate	-2.609	2.678	0.953	12.5	-3.575	80.0
C01172	beta-D-Glucose_6-phosphate	-1.71	4.644	0.131	28.274	-1.887	70.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-4.672	-5.524	0.0	0.0	0.0	50.0
C08334	Lotaustralin	4.672	5.524	0.846	71.506	5.918	90.0
C03892	Phosphatidylglycerophosphate	-1.585	-4.17	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	2.954	2.28	0.772	12.606	3.282	70.0
C00680	meso-2,6-Diaminoheptanedioate	2.342	4.918	0.476	35.302	4.071	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-2.807	-3.322	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-5.807	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	3.17	-4.524	0.391	32.007	-3.646	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.832	3.672	0.448	41.229	-4.206	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-3.644	-2.7	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	3.322	-4.524	0.435	33.007	-3.843	90.0
C01672	Cadaverine	3.459	4.087	0.846	27.991	4.566	80.0
C01674	Chitobiose	3.7	1.585	0.428	15.996	2.777	70.0
C00458	dCTP	3.0	-5.327	0.199	48.141	-3.262	80.0
C00459	dTTP	3.585	4.312	0.831	31.863	4.727	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.585	2.322	0.898	11.0	3.305	70.0
C00455	Nicotinamide_D-ribonucleotide	3.585	3.755	0.955	25.501	4.606	80.0
C00354	D-Fructose_1,6-bisphosphate	2.273	-4.605	0.199	29.169	-2.534	70.0
C00330	Deoxyguanosine	1.0	2.104	0.475	6.299	1.582	60.0
C00337	(S)-Dihydroorotate	-2.503	1.874	0.647	9.334	-2.594	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	3.322	-4.524	0.435	33.007	-3.843	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.585	-2.7	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-0.594	0.249	0.787	2.698	-1.087	60.0
C02528	Chenodeoxycholate	-1.0	-3.17	0.0	0.0	0.0	50.0
C01594	Linamarin	4.672	5.524	0.846	71.506	5.918	90.0
C00208	Maltose	-1.585	-3.0	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	0.322	4.322	0.075	21.251	0.663	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.322	-2.0	0.0	0.0	0.0	50.0
C00025	L-Glutamate	-1.263	-4.875	0.0	0.0	0.0	50.0
C00024	Acetyl-CoA	2.299	-4.381	0.236	25.757	-2.605	70.0
